episode,reward,avg_reward,actor_loss,critic_loss,steps,duration
0,-131.54,-131.54,-1.1413,1.2950,200,11.68
1,46.21,-42.66,-1.5197,1.2638,200,31.52
2,-108.18,-64.50,-2.2623,1.3402,200,35.33
3,144.16,-12.34,-2.9246,1.5868,200,32.72
4,122.55,14.64,-3.6540,1.8273,200,35.12
5,104.94,29.69,-4.2946,1.9108,200,35.96
6,88.33,38.07,-4.7887,2.0120,200,16.96
7,101.87,46.04,-5.6213,2.1349,200,10.78
8,204.53,63.65,-6.3834,2.2846,200,10.22
9,238.87,81.17,-7.5092,2.2459,134,6.97
10,236.89,118.02,-8.0178,2.3693,139,7.37
11,239.61,137.36,-8.9330,2.3026,96,5.32
12,242.96,172.47,-9.5553,2.1396,88,4.61
13,-138.19,144.24,-3899697090914155.5000,20731651442247960898976700432384.0000,200,13.82
14,-370.37,94.94,-5268597687032218.0000,27393266435566269903116873760768.0000,200,34.77
15,-385.09,45.94,-4748049392903127.0000,22081550761477820981278547116032.0000,200,28.56
